TAXON	Woody	Perennial	Plant height	Petiole length	Leaf length	Leaf width	"Leaf shape"	"Inflorescence type"	"Sepal number"	Sepal length	Sepal width	"Sepal color"	"Sepal shape"	"Petal number"	Petal length	Petal width	"Petal color"	"Petal shape"	Stamen number	Stamen length	Style length	Seed length	"Flowering time"	Habitat	Elevation	Name source	Special characters	Notes	High missing	Presence %
Altingia_chinensis	0	0	2000	1	7-13	3-4.5	obovate-oblong	racemes, capitula	0					0							3-4		spring, summer	Forests	600-1000	Original				0.52173913
Altingia_excelsa	0	0	2000	2-4	8-14	4-7	ovate, narrowly ovate	racemes, capitula	0					0						1	3-4	5-6.5	spring	Forests	1000	Original				0.608695652
Altingia_gracilipes	0	0	1200-2000	1-3	4-7	1.5-2.5	ovate-lanceolate	racemes, capitula	0					0							2.5		spring, summer	Evergreen forests	400-1000	Original				0.52173913
Altingia_obovata	0	0	3000	0.4-1	5-11	2-4.5	obovate, narrowly obovate	racemes, capitula	0					0							3		spring, summer	Montane evergreen forests	800-1400	Original				0.52173913
Altingia_poilanei	0	0						racemes, capitula	0					0												Original				0.217391304
Altingia_siamensis	0	0	700-3000	1-2	6-8(-12)	2.5-4	ovate-lanceolate, lanceolate	racemes, capitula	0					0									spring, summer	Humid forests	1000-1200	Original				0.47826087
Altingia_yunnanensis	0	0	(300-)1500-3000	1-2	6-15	3-7	oblong	racemes, capitula	0					0							3-4		spring	Forests	1000	Original				0.52173913
Aphanopetalum_resinosum	0	0			4-10		ovate-lanceolate, elliptic-lanceolate, lanceolate	cymes, panicles	4	12			oblong, narrowly ovate	0, 4					8					River scrubs [temperate south Queensland and NSW]		Original				0.434782609
Astilbe_biternata	1	0	150-200		8-15	4-15	ovate	panicle	5	0.7-1.5			triangular	0, 5	1.5-4		white	spatulate, subulate	10			1.5-2	summer	Rich woods and shaded north-facing road banks, ditches and seeps	300-1200	Original				0.739130435
Astilbe_chinensis	1	0	50-100		1.8-8	1.1-4	rhombic-elliptic, ovate, elliptic		5	1-1.5	0.7		ovate	5	4.5-5	0.5-1	lilac, purple	linear	10	2-2.5		1.5	summer, fall	Forests, forest margins, meadows, valleys, riversides	400-3600	Original				0.826086957
Astilbe_grandis	1	0	40-120	3.5-32.5	1.3-9.8	1-5	ovate, narrowly ovate, oblong, rhombic-elliptic		5	1-2	1.2-2		broadly ovate, elliptic	5	2-4.5	0.2-0.5	white, purple	linear	10	1.3-5			summer, fall	Forests, scrub, damp ravines	400-2000	Original				0.826086957
Astilbe_hachijoensis	1	0	25-80				widely ovate, ovate, elliptic	panicles		2-3			oblong		2.5-3.5			linear-oblanceolate		10	2.8-3.2		summer	On rocks near summits		Original				0.52173913
